vid_num,awgn,filter_str,br,psnr
videoSRC01_1280x720_30.yuv,20,0,256,27.750142722558635
videoSRC01_1280x720_30.yuv,20,0,512,26.165481857108723
videoSRC01_1280x720_30.yuv,20,0,768,28.513801518186565
videoSRC01_1280x720_30.yuv,20,0,1000,28.522688241278253
videoSRC01_1280x720_30.yuv,20,0,1500,25.400583619203832
videoSRC01_1280x720_30.yuv,20,0,2000,24.58207759441949
videoSRC01_1280x720_30.yuv,20,0,3000,25.212041215478827
videoSRC01_1280x720_30.yuv,20,0,4000,25.836877055521104
videoSRC01_1280x720_30.yuv,25,0,256,34.6335396617858
videoSRC01_1280x720_30.yuv,25,0,512,29.46333527285219
videoSRC01_1280x720_30.yuv,25,0,768,28.927260982301206
videoSRC01_1280x720_30.yuv,25,0,1000,30.596253880916805
videoSRC01_1280x720_30.yuv,25,0,1500,31.361651594919746
videoSRC01_1280x720_30.yuv,25,0,2000,28.241485825851086
videoSRC01_1280x720_30.yuv,25,0,3000,28.344496698733725
videoSRC01_1280x720_30.yuv,25,0,4000,29.443766262939548
videoSRC01_1280x720_30.yuv,30,0,256,36.25558272450991
videoSRC01_1280x720_30.yuv,30,0,512,31.71014665040336
videoSRC01_1280x720_30.yuv,30,0,768,31.458152725200843
videoSRC01_1280x720_30.yuv,30,0,1000,31.596371471000495
videoSRC01_1280x720_30.yuv,30,0,1500,32.77102445255874
videoSRC01_1280x720_30.yuv,30,0,2000,36.58349118894214
videoSRC01_1280x720_30.yuv,30,0,3000,33.681367501279915
videoSRC01_1280x720_30.yuv,30,0,4000,34.16628577083372
videoSRC01_1280x720_30.yuv,35,0,256,37.36397097796799
videoSRC01_1280x720_30.yuv,35,0,512,37.02696024278068
videoSRC01_1280x720_30.yuv,35,0,768,34.5765327627805
videoSRC01_1280x720_30.yuv,35,0,1000,34.685140459092956
videoSRC01_1280x720_30.yuv,35,0,1500,35.29545508950528
videoSRC01_1280x720_30.yuv,35,0,2000,36.1287515615511
videoSRC01_1280x720_30.yuv,35,0,3000,39.049848651950434
videoSRC01_1280x720_30.yuv,35,0,4000,37.58869198058524
videoSRC01_1280x720_30.yuv,40,0,256,38.111221903087426
videoSRC01_1280x720_30.yuv,40,0,512,40.70885132666284
videoSRC01_1280x720_30.yuv,40,0,768,38.65506686752779
videoSRC01_1280x720_30.yuv,40,0,1000,37.67075950582979
videoSRC01_1280x720_30.yuv,40,0,1500,37.960009121204344
videoSRC01_1280x720_30.yuv,40,0,2000,38.41302706929193
videoSRC01_1280x720_30.yuv,40,0,3000,40.041585148763936
videoSRC01_1280x720_30.yuv,40,0,4000,41.634264777495
videoSRC02_1280x720_30.yuv,20,0,256,26.832608951042218
videoSRC02_1280x720_30.yuv,20,0,512,29.124970374417426
videoSRC02_1280x720_30.yuv,20,0,768,26.536165534398446
videoSRC02_1280x720_30.yuv,20,0,1000,24.190254558091524
videoSRC02_1280x720_30.yuv,20,0,1500,21.453855644373697
videoSRC02_1280x720_30.yuv,20,0,2000,20.521160089774156
videoSRC02_1280x720_30.yuv,20,0,3000,20.37779513855815
videoSRC02_1280x720_30.yuv,20,0,4000,20.348398181456293
videoSRC02_1280x720_30.yuv,25,0,256,26.34486738510969
videoSRC02_1280x720_30.yuv,25,0,512,30.30733116947385
videoSRC02_1280x720_30.yuv,25,0,768,32.55021012902257
videoSRC02_1280x720_30.yuv,25,0,1000,32.89213715747699
videoSRC02_1280x720_30.yuv,25,0,1500,28.422010631284152
videoSRC02_1280x720_30.yuv,25,0,2000,26.094171645789956
videoSRC02_1280x720_30.yuv,25,0,3000,26.260552379124704
videoSRC02_1280x720_30.yuv,25,0,4000,27.12676693970362
videoSRC02_1280x720_30.yuv,30,0,256,27.366253944759556
videoSRC02_1280x720_30.yuv,30,0,512,31.811594735125993
videoSRC02_1280x720_30.yuv,30,0,768,34.34037866650735
videoSRC02_1280x720_30.yuv,30,0,1000,35.79625356972524
videoSRC02_1280x720_30.yuv,30,0,1500,36.560334743331715
videoSRC02_1280x720_30.yuv,30,0,2000,34.26359726738771
videoSRC02_1280x720_30.yuv,30,0,3000,30.425518400404062
videoSRC02_1280x720_30.yuv,30,0,4000,30.77674771711868
videoSRC02_1280x720_30.yuv,35,0,256,27.731986145701043
videoSRC02_1280x720_30.yuv,35,0,512,32.75838584311982
videoSRC02_1280x720_30.yuv,35,0,768,35.38734114087784
videoSRC02_1280x720_30.yuv,35,0,1000,36.92730794826872
videoSRC02_1280x720_30.yuv,35,0,1500,39.038596272334516
videoSRC02_1280x720_30.yuv,35,0,2000,39.66266704211434
videoSRC02_1280x720_30.yuv,35,0,3000,38.108521566220446
videoSRC02_1280x720_30.yuv,35,0,4000,35.97386003121741
videoSRC02_1280x720_30.yuv,40,0,256,28.270013663442537
videoSRC02_1280x720_30.yuv,40,0,512,33.367598989628725
videoSRC02_1280x720_30.yuv,40,0,768,35.962012743619795
videoSRC02_1280x720_30.yuv,40,0,1000,37.58960536932186
videoSRC02_1280x720_30.yuv,40,0,1500,39.87945179240982
